Praveshika ID,arrivalPlace,pickupNeeded,arrivalDate,arrivalTime,arrivalFlightTrain,departurePlace,departureDate,departureTime,departureFlightTrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUYV1853,Rajiv Gandhi International Airport (RGIA),Yes,23-Dec-25,8:50:00,AI128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUKK1045,Rajiv Gandhi International Airport (RGIA),Yes,25-Dec-25,8:40:00,AI2873,Rajiv Gandhi International Airport (RGIA),30-Dec-25,22:20:00,AI2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4179,Rajiv Gandhi International Airport (RGIA),Yes,24-Dec-25,17:05:00,6E6417 (A320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4185,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4188,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4190,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4196,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4197,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4198,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,Rajiv Gandhi International Airport (RGIA),Yes,46016,0.361111111,AI2873,Rajiv Gandhi International Airport (RGIA),46021,0.930555556,AI2699
ASSK4210,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4215,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4217,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4218,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4225,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,07358 RXL-UBL PUJA SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4226,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,07358 RXL-UBL PUJA SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSK4126,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,07358 RXL-UBL PUJA SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4178,Rajiv Gandhi International Airport (RGIA),Yes,24-Dec-25,17:05:00,6E6417 (A320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4180,0,No,0-Jan-00,0:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4181,Nampally Railway Station,Yes,24-Dec-25,17:10:00,12724/Telangana Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4182,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4183,Rajiv Gandhi International Airport (RGIA),Yes,24-Dec-25,17:05:00,6E6417 (A320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4184,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4186,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4189,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4195,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4114,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,07358 RXL-UBL Puja Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4115,Rajiv Gandhi International Airport (RGIA),Yes,24-Dec-25,17:05:00,6E6417 (A320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4117,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4118,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4119,Rajiv Gandhi International Airport (RGIA),Yes,23-Dec-25,21:00:00,6e805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4120,Rajiv Gandhi International Airport (RGIA),Yes,24-Dec-25,21:40:00,IX 2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4124,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,7358,Secunderabad Railway Station,31-Dec-25,9:25:00,12791/SC DNR SF EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKK4125,Rajiv Gandhi International Airport (RGIA),Yes,24-Dec-25,17:05:00,indigo-6E 6417,Rajiv Gandhi International Airport (RGIA),30-Dec-25,12:05:00,indigo-6E 537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4127,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,7358,Secunderabad Railway Station,31-Dec-25,9:25:00,12791/SC DNR SF EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4128,Secunderabad Railway Station,Yes,25-Dec-25,6:40:00,7358,Secunderabad Railway Station,31-Dec-25,9:25:00,12791/SC DNR SF EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4141,Rajiv Gandhi International Airport (RGIA),Yes,25-Dec-25,7:30:00,6E 6360 . A320,,31-Dec-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4148,Cherlapally Railway Station,Yes,24-Dec-25,4:00:00,3253,Rajiv Gandhi International Airport (RGIA),31-Dec-25,3:00:00,6E6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4160,Jubilee Bus Station (JBS),Yes,25-Dec-25,11:45:00,TSRTC,,28-Dec-25,,TSRTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4191,Kacheguda Railway Station,Yes,24-Dec-25,20:50:00,15023 GKP-YPR Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBA4267,Rajiv Gandhi International Airport (RGIA),Yes,25-Dec-25,9:25:00,AI2560,Mahatma Gandhi Bus Station (MGBS),29-Dec-25,18:00:00,By Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSK4164,Rajiv Gandhi International Airport (RGIA),Yes,25-Dec-25,3:20:00,G9467,Rajiv Gandhi International Airport (RGIA),31-Dec-25,4:00:00,G9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSK4170,Secunderabad Railway Station,Yes,24-Dec-25,15:45:00,17057,Secunderabad Railway Station,30-Dec-25,13:00:00,18519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKI4165,Rajiv Gandhi International Airport (RGIA),Yes,25-Dec-25,3:20:00,G9467,Rajiv Gandhi International Airport (RGIA),31-Dec-25,4:00:00,G9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKI4166,Rajiv Gandhi International Airport (RGIA),Yes,25-Dec-25,3:20:00,G9467,Rajiv Gandhi International Airport (RGIA),31-Dec-25,4:00:00,G9468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMYV2437,Rajiv Gandhi International Airport (RGIA),Yes,23-Dec-25,19:30:00,EY385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
